x-axis,1,2,3
second,Volt,Volt,Volt
-31.28000E-03,+881.25002E-03,+1.65625000E+00,+1.38074994E+00
-31.26000E-03,+850.00002E-03,+1.28125000E+00,+943.24994E-03
-31.24000E-03,+725.00002E-03,+937.50000E-03,+630.74994E-03
-31.22000E-03,+725.00002E-03,+687.50000E-03,+536.99994E-03
-31.20000E-03,+725.00002E-03,+562.50000E-03,+474.49994E-03
-31.18000E-03,+693.75002E-03,+531.25000E-03,+536.99994E-03
-31.16000E-03,+693.75002E-03,+562.50000E-03,+599.49994E-03
-31.14000E-03,+725.00002E-03,+625.00000E-03,+693.24994E-03
-31.12000E-03,+756.25002E-03,+718.75000E-03,+724.49994E-03
-31.10000E-03,+787.50002E-03,+718.75000E-03,+818.24994E-03
-31.08000E-03,+881.25002E-03,+843.75000E-03,+849.49994E-03
-31.06000E-03,+912.50002E-03,+843.75000E-03,+911.99994E-03
-31.04000E-03,+1.03750002E+00,+937.50000E-03,+974.49994E-03
-31.02000E-03,+1.16250002E+00,+1.03125000E+00,+1.09949994E+00
-31.00000E-03,+1.28750002E+00,+1.09375000E+00,+1.19324994E+00
-30.98000E-03,+1.41250002E+00,+1.25000000E+00,+1.31824994E+00
-30.96000E-03,+1.50625002E+00,+1.34375000E+00,+1.47449994E+00
-30.94000E-03,+1.66250002E+00,+1.50000000E+00,+1.59949994E+00
-30.92000E-03,+1.81875002E+00,+1.62500000E+00,+1.72449994E+00
-30.90000E-03,+1.91250002E+00,+1.81250000E+00,+1.91199994E+00
-30.88000E-03,+2.03750002E+00,+1.93750000E+00,+2.00574994E+00
-30.86000E-03,+2.16250002E+00,+2.03125000E+00,+2.16199994E+00
-30.84000E-03,+2.28750002E+00,+2.15625000E+00,+2.25574994E+00
-30.82000E-03,+2.38125002E+00,+2.25000000E+00,+2.38074994E+00
-30.80000E-03,+2.41250002E+00,+2.37500000E+00,+2.44324994E+00
-30.78000E-03,+2.47500002E+00,+2.46875000E+00,+2.50574994E+00
-30.76000E-03,+2.50625002E+00,+2.50000000E+00,+2.59949994E+00
-30.74000E-03,+2.53750002E+00,+2.56250000E+00,+2.59949994E+00
-30.72000E-03,+2.53750002E+00,+2.62500000E+00,+2.63074994E+00
-30.70000E-03,+2.47500002E+00,+2.56250000E+00,+2.56824994E+00
-30.68000E-03,+2.41250002E+00,+2.53125000E+00,+2.53699994E+00
-30.66000E-03,+2.35000002E+00,+2.53125000E+00,+2.47449994E+00
-30.64000E-03,+2.25625002E+00,+2.46875000E+00,+2.38074994E+00
-30.62000E-03,+2.13125002E+00,+2.34375000E+00,+2.22449994E+00
-30.60000E-03,+2.03750002E+00,+2.25000000E+00,+2.13074994E+00
-30.58000E-03,+1.85000002E+00,+2.09375000E+00,+1.97449994E+00
-30.56000E-03,+1.69375002E+00,+1.93750000E+00,+1.84949994E+00
-30.54000E-03,+1.53750002E+00,+1.81250000E+00,+1.66199994E+00
-30.52000E-03,+1.41250002E+00,+1.65625000E+00,+1.47449994E+00
-30.50000E-03,+1.28750002E+00,+1.50000000E+00,+1.31824994E+00
-30.48000E-03,+1.13125002E+00,+1.31250000E+00,+1.19324994E+00
-30.46000E-03,+1.00625002E+00,+1.18750000E+00,+1.06824994E+00
-30.44000E-03,+881.25002E-03,+1.00000000E+00,+911.99994E-03
-30.42000E-03,+818.75002E-03,+906.25000E-03,+818.24994E-03
-30.40000E-03,+725.00002E-03,+812.50000E-03,+755.74994E-03
-30.38000E-03,+693.75002E-03,+750.00000E-03,+661.99994E-03
-30.36000E-03,+693.75002E-03,+687.50000E-03,+661.99994E-03
-30.34000E-03,+662.50002E-03,+625.00000E-03,+661.99994E-03
-30.32000E-03,+725.00002E-03,+687.50000E-03,+661.99994E-03
-30.30000E-03,+850.00002E-03,+718.75000E-03,+755.74994E-03
-30.28000E-03,+943.75002E-03,+781.25000E-03,+849.49994E-03
-30.26000E-03,+1.06875002E+00,+906.25000E-03,+943.24994E-03
-30.24000E-03,+1.19375002E+00,+1.00000000E+00,+1.13074994E+00
-30.22000E-03,+1.38125002E+00,+1.15625000E+00,+1.25574994E+00
-30.20000E-03,+1.50625002E+00,+1.28125000E+00,+1.47449994E+00
-30.18000E-03,+1.69375002E+00,+1.46875000E+00,+1.63074994E+00
-30.16000E-03,+1.91250002E+00,+1.65625000E+00,+1.84949994E+00
-30.14000E-03,+2.03750002E+00,+1.84375000E+00,+2.00574994E+00
-30.12000E-03,+2.16250002E+00,+1.96875000E+00,+2.16199994E+00
-30.10000E-03,+2.31875002E+00,+2.15625000E+00,+2.31824994E+00
-30.08000E-03,+2.38125002E+00,+2.31250000E+00,+2.44324994E+00
-30.06000E-03,+2.47500002E+00,+2.43750000E+00,+2.53699994E+00
-30.04000E-03,+2.50625002E+00,+2.56250000E+00,+2.56824994E+00
-30.02000E-03,+2.47500002E+00,+2.59375000E+00,+2.66199994E+00
-30.00000E-03,+2.50625002E+00,+2.62500000E+00,+2.63074994E+00
-29.98000E-03,+2.44375002E+00,+2.59375000E+00,+2.56824994E+00
-29.96000E-03,+2.35000002E+00,+2.56250000E+00,+2.50574994E+00
-29.94000E-03,+2.22500002E+00,+2.46875000E+00,+2.34949994E+00
-29.92000E-03,+2.03750002E+00,+2.31250000E+00,+2.22449994E+00
-29.90000E-03,+1.91250002E+00,+2.15625000E+00,+2.00574994E+00
-29.88000E-03,+1.66250002E+00,+2.00000000E+00,+1.84949994E+00
-29.86000E-03,+1.50625002E+00,+1.78125000E+00,+1.66199994E+00
-29.84000E-03,+1.31875002E+00,+1.62500000E+00,+1.41199994E+00
-29.82000E-03,+1.13125002E+00,+1.40625000E+00,+1.19324994E+00
-29.80000E-03,+975.00002E-03,+1.21875000E+00,+1.03699994E+00
-29.78000E-03,+881.25002E-03,+1.00000000E+00,+880.74994E-03
-29.76000E-03,+756.25002E-03,+906.25000E-03,+755.74994E-03
-29.74000E-03,+662.50002E-03,+750.00000E-03,+693.24994E-03
-29.72000E-03,+693.75002E-03,+687.50000E-03,+630.74994E-03
-29.70000E-03,+725.00002E-03,+625.00000E-03,+599.49994E-03
-29.68000E-03,+725.00002E-03,+625.00000E-03,+661.99994E-03
-29.66000E-03,+881.25002E-03,+718.75000E-03,+755.74994E-03
-29.64000E-03,+1.03750002E+00,+781.25000E-03,+880.74994E-03
-29.62000E-03,+1.16250002E+00,+937.50000E-03,+1.03699994E+00
-29.60000E-03,+1.35000002E+00,+1.09375000E+00,+1.22449994E+00
-29.58000E-03,+1.60000002E+00,+1.28125000E+00,+1.44324994E+00
-29.56000E-03,+1.75625002E+00,+1.50000000E+00,+1.69324994E+00
-29.54000E-03,+1.94375002E+00,+1.71875000E+00,+1.94324994E+00
-29.52000E-03,+2.19375002E+00,+1.93750000E+00,+2.13074994E+00
-29.50000E-03,+2.28750002E+00,+2.12500000E+00,+2.31824994E+00
-29.48000E-03,+2.44375002E+00,+2.31250000E+00,+2.47449994E+00
-29.46000E-03,+2.44375002E+00,+2.46875000E+00,+2.56824994E+00
-29.44000E-03,+2.53750002E+00,+2.56250000E+00,+2.63074994E+00
-29.42000E-03,+2.53750002E+00,+2.62500000E+00,+2.69324994E+00
-29.40000E-03,+2.44375002E+00,+2.62500000E+00,+2.63074994E+00
-29.38000E-03,+2.31875002E+00,+2.59375000E+00,+2.50574994E+00
-29.36000E-03,+2.16250002E+00,+2.46875000E+00,+2.38074994E+00
-29.34000E-03,+2.00625002E+00,+2.34375000E+00,+2.16199994E+00
-29.32000E-03,+1.78750002E+00,+2.12500000E+00,+1.97449994E+00
-29.30000E-03,+1.56875002E+00,+1.90625000E+00,+1.72449994E+00
-29.28000E-03,+1.38125002E+00,+1.68750000E+00,+1.50574994E+00
-29.26000E-03,+1.13125002E+00,+1.46875000E+00,+1.28699994E+00
-29.24000E-03,+975.00002E-03,+1.18750000E+00,+1.03699994E+00
-29.22000E-03,+818.75002E-03,+1.00000000E+00,+818.24994E-03
-29.20000E-03,+725.00002E-03,+875.00000E-03,+693.24994E-03
-29.18000E-03,+662.50002E-03,+718.75000E-03,+599.49994E-03
-29.16000E-03,+693.75002E-03,+625.00000E-03,+630.74994E-03
-29.14000E-03,+756.25002E-03,+656.25000E-03,+599.49994E-03
-29.12000E-03,+912.50002E-03,+625.00000E-03,+693.24994E-03
-29.10000E-03,+1.06875002E+00,+781.25000E-03,+849.49994E-03
-29.08000E-03,+1.22500002E+00,+906.25000E-03,+1.06824994E+00
-29.06000E-03,+1.44375002E+00,+1.15625000E+00,+1.31824994E+00
-29.04000E-03,+1.72500002E+00,+1.34375000E+00,+1.53699994E+00
-29.02000E-03,+1.91250002E+00,+1.56250000E+00,+1.81824994E+00
-29.00000E-03,+2.13125002E+00,+1.81250000E+00,+2.09949994E+00
-28.98000E-03,+2.28750002E+00,+2.09375000E+00,+2.28699994E+00
-28.96000E-03,+2.44375002E+00,+2.31250000E+00,+2.50574994E+00
-28.94000E-03,+2.50625002E+00,+2.50000000E+00,+2.59949994E+00
-28.92000E-03,+2.50625002E+00,+2.65625000E+00,+2.69324994E+00
-28.90000E-03,+2.50625002E+00,+2.65625000E+00,+2.69324994E+00
-28.88000E-03,+2.38125002E+00,+2.62500000E+00,+2.59949994E+00
-28.86000E-03,+2.19375002E+00,+2.56250000E+00,+2.47449994E+00
-28.84000E-03,+2.03750002E+00,+2.43750000E+00,+2.25574994E+00
-28.82000E-03,+1.78750002E+00,+2.21875000E+00,+2.03699994E+00
-28.80000E-03,+1.56875002E+00,+1.96875000E+00,+1.75574994E+00
-28.78000E-03,+1.31875002E+00,+1.68750000E+00,+1.47449994E+00
-28.76000E-03,+1.13125002E+00,+1.40625000E+00,+1.22449994E+00
-28.74000E-03,+881.25002E-03,+1.18750000E+00,+974.49994E-03
-28.72000E-03,+725.00002E-03,+906.25000E-03,+755.74994E-03
-28.70000E-03,+725.00002E-03,+781.25000E-03,+630.74994E-03
-28.68000E-03,+662.50002E-03,+656.25000E-03,+599.49994E-03
-28.66000E-03,+725.00002E-03,+593.75000E-03,+568.24994E-03
-28.64000E-03,+881.25002E-03,+625.00000E-03,+693.24994E-03
-28.62000E-03,+1.03750002E+00,+718.75000E-03,+818.24994E-03
-28.60000E-03,+1.25625002E+00,+906.25000E-03,+1.09949994E+00
-28.58000E-03,+1.50625002E+00,+1.09375000E+00,+1.34949994E+00
-28.56000E-03,+1.81875002E+00,+1.40625000E+00,+1.63074994E+00
-28.54000E-03,+2.00625002E+00,+1.68750000E+00,+1.97449994E+00
-28.52000E-03,+2.19375002E+00,+1.96875000E+00,+2.19324994E+00
-28.50000E-03,+2.38125002E+00,+2.25000000E+00,+2.44324994E+00
-28.48000E-03,+2.53750002E+00,+2.43750000E+00,+2.59949994E+00
-28.46000E-03,+2.50625002E+00,+2.56250000E+00,+2.69324994E+00
-28.44000E-03,+2.47500002E+00,+2.68750000E+00,+2.72449994E+00
-28.42000E-03,+2.38125002E+00,+2.65625000E+00,+2.66199994E+00
-28.40000E-03,+2.19375002E+00,+2.56250000E+00,+2.44324994E+00
-28.38000E-03,+1.97500002E+00,+2.43750000E+00,+2.19324994E+00
-28.36000E-03,+1.72500002E+00,+2.15625000E+00,+1.97449994E+00
-28.34000E-03,+1.41250002E+00,+1.87500000E+00,+1.63074994E+00
-28.32000E-03,+1.19375002E+00,+1.59375000E+00,+1.31824994E+00
-28.30000E-03,+975.00002E-03,+1.28125000E+00,+1.03699994E+00
-28.28000E-03,+787.50002E-03,+1.03125000E+00,+818.24994E-03
-28.26000E-03,+725.00002E-03,+812.50000E-03,+630.74994E-03
-28.24000E-03,+662.50002E-03,+625.00000E-03,+505.74994E-03
-28.22000E-03,+725.00002E-03,+593.75000E-03,+568.24994E-03
-28.20000E-03,+943.75002E-03,+593.75000E-03,+661.99994E-03
-28.18000E-03,+1.13125002E+00,+718.75000E-03,+880.74994E-03
-28.16000E-03,+1.38125002E+00,+906.25000E-03,+1.13074994E+00
-28.14000E-03,+1.63125002E+00,+1.18750000E+00,+1.41199994E+00
-28.12000E-03,+1.94375002E+00,+1.46875000E+00,+1.72449994E+00
-28.10000E-03,+2.19375002E+00,+1.81250000E+00,+2.09949994E+00
-28.08000E-03,+2.35000002E+00,+2.12500000E+00,+2.38074994E+00
-28.06000E-03,+2.47500002E+00,+2.37500000E+00,+2.59949994E+00
-28.04000E-03,+2.53750002E+00,+2.59375000E+00,+2.75574994E+00
-28.02000E-03,+2.47500002E+00,+2.68750000E+00,+2.78699994E+00
-28.00000E-03,+2.38125002E+00,+2.71875000E+00,+2.63074994E+00
-27.98000E-03,+2.19375002E+00,+2.62500000E+00,+2.50574994E+00
-27.96000E-03,+1.91250002E+00,+2.43750000E+00,+2.25574994E+00
-27.94000E-03,+1.63125002E+00,+2.18750000E+00,+1.94324994E+00
-27.92000E-03,+1.31875002E+00,+1.84375000E+00,+1.56824994E+00
-27.90000E-03,+1.10000002E+00,+1.50000000E+00,+1.22449994E+00
-27.88000E-03,+912.50002E-03,+1.18750000E+00,+943.24994E-03
-27.86000E-03,+725.00002E-03,+875.00000E-03,+693.24994E-03
-27.84000E-03,+693.75002E-03,+687.50000E-03,+536.99994E-03
-27.82000E-03,+725.00002E-03,+562.50000E-03,+474.49994E-03
-27.80000E-03,+881.25002E-03,+562.50000E-03,+599.49994E-03
-27.78000E-03,+1.06875002E+00,+625.00000E-03,+786.99994E-03
-27.76000E-03,+1.28750002E+00,+843.75000E-03,+1.03699994E+00
-27.74000E-03,+1.63125002E+00,+1.12500000E+00,+1.38074994E+00
-27.72000E-03,+1.97500002E+00,+1.46875000E+00,+1.72449994E+00
-27.70000E-03,+2.19375002E+00,+1.81250000E+00,+2.13074994E+00
-27.68000E-03,+2.44375002E+00,+2.15625000E+00,+2.41199994E+00
-27.66000E-03,+2.50625002E+00,+2.40625000E+00,+2.63074994E+00
-27.64000E-03,+2.56875002E+00,+2.62500000E+00,+2.75574994E+00
-27.62000E-03,+2.44375002E+00,+2.68750000E+00,+2.75574994E+00
-27.60000E-03,+2.25625002E+00,+2.68750000E+00,+2.63074994E+00
-27.58000E-03,+2.03750002E+00,+2.56250000E+00,+2.34949994E+00
-27.56000E-03,+1.72500002E+00,+2.31250000E+00,+2.06824994E+00
-27.54000E-03,+1.44375002E+00,+2.00000000E+00,+1.69324994E+00
-27.52000E-03,+1.13125002E+00,+1.62500000E+00,+1.31824994E+00
-27.50000E-03,+881.25002E-03,+1.21875000E+00,+943.24994E-03
-27.48000E-03,+787.50002E-03,+937.50000E-03,+661.99994E-03
-27.46000E-03,+662.50002E-03,+656.25000E-03,+505.74994E-03
-27.44000E-03,+693.75002E-03,+562.50000E-03,+474.49994E-03
-27.42000E-03,+881.25002E-03,+531.25000E-03,+568.24994E-03
-27.40000E-03,+1.10000002E+00,+625.00000E-03,+786.99994E-03
-27.38000E-03,+1.44375002E+00,+843.75000E-03,+1.13074994E+00
-27.36000E-03,+1.72500002E+00,+1.18750000E+00,+1.47449994E+00
-27.34000E-03,+2.03750002E+00,+1.56250000E+00,+1.88074994E+00
-27.32000E-03,+2.28750002E+00,+1.96875000E+00,+2.25574994E+00
-27.30000E-03,+2.47500002E+00,+2.28125000E+00,+2.53699994E+00
-27.28000E-03,+2.53750002E+00,+2.53125000E+00,+2.78699994E+00
-27.26000E-03,+2.44375002E+00,+2.71875000E+00,+2.78699994E+00
-27.24000E-03,+2.35000002E+00,+2.75000000E+00,+2.72449994E+00
-27.22000E-03,+2.10000002E+00,+2.59375000E+00,+2.50574994E+00
-27.20000E-03,+1.78750002E+00,+2.40625000E+00,+2.16199994E+00
-27.18000E-03,+1.41250002E+00,+2.06250000E+00,+1.75574994E+00
-27.16000E-03,+1.13125002E+00,+1.65625000E+00,+1.31824994E+00
-27.14000E-03,+912.50002E-03,+1.28125000E+00,+943.24994E-03
-27.12000E-03,+725.00002E-03,+937.50000E-03,+630.74994E-03
-27.10000E-03,+693.75002E-03,+687.50000E-03,+505.74994E-03
-27.08000E-03,+756.25002E-03,+531.25000E-03,+474.49994E-03
-27.06000E-03,+943.75002E-03,+500.00000E-03,+599.49994E-03
-27.04000E-03,+1.22500002E+00,+656.25000E-03,+818.24994E-03
-27.02000E-03,+1.56875002E+00,+937.50000E-03,+1.19324994E+00
-27.00000E-03,+1.88125002E+00,+1.28125000E+00,+1.63074994E+00
-26.98000E-03,+2.19375002E+00,+1.68750000E+00,+2.06824994E+00
-26.96000E-03,+2.41250002E+00,+2.09375000E+00,+2.41199994E+00
-26.94000E-03,+2.56875002E+00,+2.43750000E+00,+2.69324994E+00
-26.92000E-03,+2.53750002E+00,+2.65625000E+00,+2.78699994E+00
-26.90000E-03,+2.41250002E+00,+2.78125000E+00,+2.78699994E+00
-26.88000E-03,+2.13125002E+00,+2.71875000E+00,+2.53699994E+00
-26.86000E-03,+1.81875002E+00,+2.53125000E+00,+2.28699994E+00
-26.84000E-03,+1.47500002E+00,+2.15625000E+00,+1.88074994E+00
-26.82000E-03,+1.16250002E+00,+1.78125000E+00,+1.41199994E+00
-26.80000E-03,+912.50002E-03,+1.34375000E+00,+1.00574994E+00
-26.78000E-03,+725.00002E-03,+937.50000E-03,+693.24994E-03
-26.76000E-03,+693.75002E-03,+687.50000E-03,+474.49994E-03
-26.74000E-03,+725.00002E-03,+500.00000E-03,+443.24994E-03
-26.72000E-03,+975.00002E-03,+500.00000E-03,+568.24994E-03
-26.70000E-03,+1.31875002E+00,+625.00000E-03,+849.49994E-03
-26.68000E-03,+1.72500002E+00,+968.75000E-03,+1.28699994E+00
-26.66000E-03,+1.94375002E+00,+1.37500000E+00,+1.72449994E+00
-26.64000E-03,+2.28750002E+00,+1.78125000E+00,+2.19324994E+00
-26.62000E-03,+2.44375002E+00,+2.21875000E+00,+2.56824994E+00
-26.60000E-03,+2.53750002E+00,+2.53125000E+00,+2.81824994E+00
-26.58000E-03,+2.44375002E+00,+2.68750000E+00,+2.84949994E+00
-26.56000E-03,+2.25625002E+00,+2.78125000E+00,+2.75574994E+00
-26.54000E-03,+1.94375002E+00,+2.62500000E+00,+2.41199994E+00
-26.52000E-03,+1.56875002E+00,+2.34375000E+00,+2.03699994E+00
-26.50000E-03,+1.25625002E+00,+1.96875000E+00,+1.56824994E+00
-26.48000E-03,+943.75002E-03,+1.50000000E+00,+1.06824994E+00
-26.46000E-03,+787.50002E-03,+1.03125000E+00,+693.24994E-03
-26.44000E-03,+662.50002E-03,+718.75000E-03,+474.49994E-03
-26.42000E-03,+787.50002E-03,+468.75000E-03,+443.24994E-03
-26.40000E-03,+1.00625002E+00,+531.25000E-03,+568.24994E-03
-26.38000E-03,+1.31875002E+00,+625.00000E-03,+849.49994E-03
-26.36000E-03,+1.66250002E+00,+937.50000E-03,+1.25574994E+00
-26.34000E-03,+2.06875002E+00,+1.31250000E+00,+1.78699994E+00
-26.32000E-03,+2.31875002E+00,+1.84375000E+00,+2.25574994E+00
-26.30000E-03,+2.50625002E+00,+2.25000000E+00,+2.59949994E+00
-26.28000E-03,+2.53750002E+00,+2.62500000E+00,+2.84949994E+00
-26.26000E-03,+2.41250002E+00,+2.81250000E+00,+2.84949994E+00
-26.24000E-03,+2.13125002E+00,+2.75000000E+00,+2.69324994E+00
-26.22000E-03,+1.81875002E+00,+2.56250000E+00,+2.34949994E+00
-26.20000E-03,+1.41250002E+00,+2.21875000E+00,+1.84949994E+00
-26.18000E-03,+1.10000002E+00,+1.75000000E+00,+1.31824994E+00
-26.16000E-03,+756.25002E-03,+1.28125000E+00,+880.74994E-03
-26.14000E-03,+693.75002E-03,+875.00000E-03,+536.99994E-03
-26.12000E-03,+725.00002E-03,+562.50000E-03,+349.49994E-03
-26.10000E-03,+912.50002E-03,+437.50000E-03,+443.24994E-03
-26.08000E-03,+1.22500002E+00,+531.25000E-03,+693.24994E-03
-26.06000E-03,+1.60000002E+00,+812.50000E-03,+1.13074994E+00
-26.04000E-03,+1.97500002E+00,+1.21875000E+00,+1.66199994E+00
-26.02000E-03,+2.31875002E+00,+1.71875000E+00,+2.13074994E+00
-26.00000E-03,+2.47500002E+00,+2.18750000E+00,+2.53699994E+00
-25.98000E-03,+2.47500002E+00,+2.53125000E+00,+2.84949994E+00
-25.96000E-03,+2.41250002E+00,+2.75000000E+00,+2.91199994E+00
-25.94000E-03,+2.13125002E+00,+2.84375000E+00,+2.75574994E+00
-25.92000E-03,+1.75625002E+00,+2.62500000E+00,+2.38074994E+00
-25.90000E-03,+1.35000002E+00,+2.28125000E+00,+1.84949994E+00
-25.88000E-03,+1.00625002E+00,+1.71875000E+00,+1.28699994E+00
-25.86000E-03,+756.25002E-03,+1.28125000E+00,+849.49994E-03
-25.84000E-03,+662.50002E-03,+781.25000E-03,+536.99994E-03
-25.82000E-03,+756.25002E-03,+531.25000E-03,+349.49994E-03
-25.80000E-03,+1.00625002E+00,+406.25000E-03,+443.24994E-03
-25.78000E-03,+1.31875002E+00,+562.50000E-03,+786.99994E-03
-25.76000E-03,+1.78750002E+00,+937.50000E-03,+1.22449994E+00
-25.74000E-03,+2.10000002E+00,+1.34375000E+00,+1.81824994E+00
-25.72000E-03,+2.38125002E+00,+1.90625000E+00,+2.31824994E+00
-25.70000E-03,+2.53750002E+00,+2.34375000E+00,+2.66199994E+00
-25.68000E-03,+2.50625002E+00,+2.68750000E+00,+2.88074994E+00
-25.66000E-03,+2.25625002E+00,+2.78125000E+00,+2.88074994E+00
-25.64000E-03,+1.94375002E+00,+2.75000000E+00,+2.56824994E+00
-25.62000E-03,+1.50625002E+00,+2.43750000E+00,+2.09949994E+00
-25.60000E-03,+1.10000002E+00,+2.00000000E+00,+1.53699994E+00
-25.58000E-03,+818.75002E-03,+1.43750000E+00,+1.00574994E+00
-25.56000E-03,+662.50002E-03,+937.50000E-03,+568.24994E-03
-25.54000E-03,+725.00002E-03,+593.75000E-03,+349.49994E-03
-25.52000E-03,+943.75002E-03,+437.50000E-03,+411.99994E-03
-25.50000E-03,+1.28750002E+00,+531.25000E-03,+661.99994E-03
-25.48000E-03,+1.72500002E+00,+812.50000E-03,+1.13074994E+00
-25.46000E-03,+2.16250002E+00,+1.28125000E+00,+1.72449994E+00
-25.44000E-03,+2.41250002E+00,+1.81250000E+00,+2.22449994E+00
-25.42000E-03,+2.53750002E+00,+2.31250000E+00,+2.69324994E+00
-25.40000E-03,+2.47500002E+00,+2.65625000E+00,+2.97449994E+00
-25.38000E-03,+2.25625002E+00,+2.84375000E+00,+2.88074994E+00
-25.36000E-03,+1.88125002E+00,+2.75000000E+00,+2.56824994E+00
-25.34000E-03,+1.41250002E+00,+2.43750000E+00,+2.09949994E+00
-25.32000E-03,+1.06875002E+00,+1.96875000E+00,+1.50574994E+00
-25.30000E-03,+787.50002E-03,+1.37500000E+00,+911.99994E-03
-25.28000E-03,+662.50002E-03,+875.00000E-03,+536.99994E-03
-25.26000E-03,+756.25002E-03,+531.25000E-03,+349.49994E-03
-25.24000E-03,+1.03750002E+00,+406.25000E-03,+380.74994E-03
-25.22000E-03,+1.44375002E+00,+531.25000E-03,+786.99994E-03
-25.20000E-03,+1.88125002E+00,+906.25000E-03,+1.31824994E+00
-25.18000E-03,+2.19375002E+00,+1.43750000E+00,+1.91199994E+00
-25.16000E-03,+2.47500002E+00,+2.00000000E+00,+2.50574994E+00
-25.14000E-03,+2.50625002E+00,+2.46875000E+00,+2.88074994E+00
-25.12000E-03,+2.35000002E+00,+2.78125000E+00,+2.97449994E+00
-25.10000E-03,+2.00625002E+00,+2.81250000E+00,+2.78699994E+00
-25.08000E-03,+1.66250002E+00,+2.62500000E+00,+2.34949994E+00
-25.06000E-03,+1.22500002E+00,+2.18750000E+00,+1.75574994E+00
-25.04000E-03,+818.75002E-03,+1.62500000E+00,+1.13074994E+00
-25.02000E-03,+693.75002E-03,+1.06250000E+00,+630.74994E-03
-25.00000E-03,+693.75002E-03,+625.00000E-03,+349.49994E-03
-24.98000E-03,+1.00625002E+00,+437.50000E-03,+380.74994E-03
-24.96000E-03,+1.35000002E+00,+468.75000E-03,+630.74994E-03
-24.94000E-03,+1.78750002E+00,+812.50000E-03,+1.19324994E+00
-24.92000E-03,+2.19375002E+00,+1.28125000E+00,+1.75574994E+00
-24.90000E-03,+2.44375002E+00,+1.90625000E+00,+2.38074994E+00
-24.88000E-03,+2.53750002E+00,+2.40625000E+00,+2.78699994E+00
-24.86000E-03,+2.41250002E+00,+2.75000000E+00,+2.97449994E+00
-24.84000E-03,+2.06875002E+00,+2.84375000E+00,+2.81824994E+00
-24.82000E-03,+1.66250002E+00,+2.65625000E+00,+2.38074994E+00
-24.80000E-03,+1.19375002E+00,+2.21875000E+00,+1.78699994E+00
-24.78000E-03,+818.75002E-03,+1.65625000E+00,+1.13074994E+00
-24.76000E-03,+725.00002E-03,+1.06250000E+00,+599.49994E-03
-24.74000E-03,+756.25002E-03,+625.00000E-03,+349.49994E-03
-24.72000E-03,+1.03750002E+00,+375.00000E-03,+349.49994E-03
-24.70000E-03,+1.44375002E+00,+468.75000E-03,+661.99994E-03
-24.68000E-03,+1.91250002E+00,+843.75000E-03,+1.22449994E+00
-24.66000E-03,+2.28750002E+00,+1.37500000E+00,+1.88074994E+00
-24.64000E-03,+2.50625002E+00,+1.96875000E+00,+2.50574994E+00
-24.62000E-03,+2.50625002E+00,+2.50000000E+00,+2.91199994E+00
